Nimi	DJ	EX	Kokku	PR	Syva	XP	Yldine	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Rauno	0	98	362	28	23	23	213	0	0	5	0	0	9	0	12	6	11	0	1	13	17	18	2	9	64	10	0	6	1	0	0	0	0	0	0	0	2	2	16	0	0	2	0	0	0	108	10	9	0	6	4	5	13	1	0	0	0	1109
Kadri	7	1606	9335	551	23	16	7155	6	1	2	66	69	102	84	72	78	28	89	148	237	68	239	179	147	763	180	25	14	66	49	9	0	0	7	0	0	43	8	26	11	48	15	43	41	60	5856	191	0	0	249	0	8	0	3	3	1	1	28028
Ago	44	2963	11065	1095	771	727	6236	40	4	44	173	102	406	125	119	508	94	234	272	213	202	154	287	74	435	1194	53	399	182	154	25	39	78	31	2	14	146	38	170	51	20	137	37	82	28	2901	619	168	23	261	296	142	77	62	89	33	28	33966
test9	5	265	1725	140	163	158	1157	5	0	5	4	2	27	22	7	21	7	13	26	24	21	29	34	28	109	92	29	22	4	25	0	0	9	4	2	4	5	3	14	5	11	10	11	6	18	781	73	17	0	38	33	8	83	10	3	16	5	5338
MajorMoopsy	0	246	909	150	48	48	465	0	0	0	47	6	83	52	27	27	2	0	0	0	2	0	0	0	0	119	3	12	1	17	2	0	72	42	2	2	27	1	0	0	0	0	0	0	0	264	35	12	0	4	18	15	15	0	0	0	0	2775
Vallavanem	4	64	205	10	31	27	100	4	0	0	0	0	12	0	0	13	3	0	2	16	4	2	10	2	1	9	0	0	0	10	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	78	2	0	0	0	3	11	13	0	0	0	0	646
Mikk	0	514	1450	68	43	43	825	0	0	0	7	10	0	7	8	58	3	12	75	38	18	145	90	43	113	33	1	0	6	33	0	0	0	2	0	0	0	3	14	3	1	0	6	15	21	605	32	2	0	3	4	4	19	16	0	0	0	4393
Sebastian	17	385	2854	147	56	39	2266	17	0	6	9	25	13	1	42	39	23	41	42	31	4	75	26	14	163	207	3	192	1	31	0	0	0	11	0	4	24	4	85	1	2	2	1	6	4	1521	122	20	0	3	37	1	0	1	0	0	0	8618
Kristjan	66	537	1858	180	357	291	784	66	0	1	12	8	69	55	6	36	46	15	27	7	45	82	102	27	121	40	4	2	1	13	2	0	0	0	0	0	11	5	35	5	5	27	36	17	2	560	22	18	0	37	111	108	67	2	1	1	1	5931
Piret	29	236	722	58	41	12	387	29	0	5	0	0	5	0	0	35	1	62	0	0	9	47	56	21	110	51	0	2	0	0	0	0	0	0	0	0	29	0	15	0	0	0	0	3	11	206	12	1	0	0	0	12	0	0	0	0	0	2207
Helin	0	33	1083	24	10	10	1016	0	0	0	4	0	6	1	0	1	0	0	10	1	6	0	4	0	78	122	0	60	0	73	1	0	2	0	0	0	8	0	5	0	0	0	0	9	0	669	5	8	0	0	10	0	0	0	0	0	0	3259
236460404446855168	5	130	458	185	103	98	40	0	5	0	3	0	0	7	6	6	0	38	9	7	26	3	18	7	1	1	0	0	0	1	3	0	0	0	0	0	6	0	2	1	0	16	1	20	2	19	8	7	0	137	1	8	23	8	29	15	14	1477
Elvar	2	522	2801	210	11	9	2058	0	2	16	6	0	2	0	0	0	5	34	1	38	63	140	137	96	295	120	0	4	11	32	0	0	9	0	0	0	11	0	15	16	2	5	11	11	35	1510	64	6	0	95	1	1	4	0	0	2	1	8414
moth	0	160	515	20	39	39	296	0	0	0	18	7	48	9	3	0	0	1	0	9	4	60	0	1	4	72	0	0	0	2	0	0	4	1	0	0	0	0	0	0	1	0	0	3	10	198	7	13	0	1	2	24	1	0	4	1	7	1584
TankerElite	0	280	484	15	4	4	185	0	0	4	1	0	0	13	4	49	10	18	65	2	38	59	21	0	23	17	2	0	0	26	3	0	1	0	0	0	0	0	4	1	4	4	0	0	0	99	10	1	0	1	0	0	0	1	2	1	0	1456
marko169	0	152	353	48	1	1	152	0	0	0	20	0	40	5	0	1	0	10	0	20	20	14	14	8	25	42	0	1	6	1	0	0	8	3	0	0	0	0	3	0	2	13	12	2	5	76	0	1	0	0	0	0	0	0	0	1	0	1060
TROLLOLOLOLOLOLO	1	854	1557	235	65	64	403	1	0	7	17	12	56	28	16	44	22	20	13	42	69	283	159	73	6	133	10	2	1	3	4	0	16	4	2	0	25	2	16	0	10	36	72	21	20	207	24	6	0	11	48	0	0	10	1	5	0	4736
Anubis	5	1109	3874	427	19	14	2319	3	2	8	24	62	109	33	102	40	110	109	89	94	97	215	25	0	205	325	35	0	49	155	10	0	21	31	1	0	12	1	99	25	84	89	15	27	3	1416	92	24	0	19	0	1	5	3	1	4	0	11641
outworld	0	83	145	24	6	6	32	0	0	0	1	0	0	23	0	14	0	11	3	1	2	19	6	3	0	9	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	5	0	0	22	0	0	0	16	5	0	0	0	0	1	0	441
