Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Rauno	0	66,571	61,056	58,393	62,783	58,614	62,783	0	0	102,0	0	0	63,778	0	91,667	65,5	90,455	0	108,0	56,154	58,412	54,222	45,0	62,778	53,508	67,0	0	66,667	91,0	0	0	0	0	0	0	0	54,5	69,0	56,375	0	0	85,5	0	0	0	57,019	57,6	70,556	0	52,5	61,5	77,0	56,462	79,0	0	0	0	61,093
Kadri	23,143	38,912	27,761	32,443	22,913	24,87	22,812	24,667	14,0	8,0	31,288	25,638	33,078	35,429	34,389	46,872	30,286	36,978	29,115	48,025	46,765	38,728	48,832	35,17	23,769	26,313	30,12	25,214	25,924	21,857	25,556	0	0	25,857	0	0	26,651	25,0	51,154	29,091	24,792	45,333	36,512	20,268	32,5	24,756	31,633	0	0	34,048	0	20,125	0	42,333	11,0	4,0	40,0	27,757
Ago	53,75	41,066	39,267	39,131	39,39	38,41	38,521	56,7	24,25	56,136	37,538	38,588	43,857	46,216	42,824	37,878	41,713	37,991	41,548	38,84	46,941	39,968	44,115	35,73	27,655	44,698	28,151	48,531	34,209	41,545	33,24	107,447	34,192	43,871	99,5	44,0	37,925	35,211	50,453	36,039	58,3	41,737	44,784	28,402	43,536	32,94	46,325	44,452	66,391	33,054	37,554	30,451	37,571	51,484	43,787	42,424	42,25	39,27
test9	65,8	73,864	60,564	61,079	68,509	56,184	68,595	65,8	0	44,4	45,0	20,5	57,259	129,227	62,286	48,857	56,0	39,769	102,538	63,25	83,667	82,897	61,676	76,821	47,89	62,402	70,793	64,5	35,25	50,72	0	0	62,222	89,75	19,0	50,75	58,8	104,667	64,857	24,8	39,273	60,7	81,727	102,0	66,889	54,861	62,569	93,529	0	52,553	57,515	74,625	76,578	46,3	66,333	70,5	39,4	60,812
MajorMoopsy	0	55,183	58,159	49,473	47,667	63,764	47,667	0	0	0	45,362	52,833	66,687	49,885	45,333	55,889	41,5	0	0	0	90,5	0	0	0	0	53,647	45,667	55,083	2,0	200,824	27,5	0	44,264	60,524	86,5	15,0	47,556	94,0	0	0	0	0	0	0	0	55,135	83,071	135,5	0	27,75	39,778	45,267	59,533	0	0	0	0	57,976
Vallavanem	36,25	72,391	64,068	92,2	48,129	60,87	49,889	36,25	0	0	0	0	75,833	0	0	50,077	47,667	0	91,0	53,875	145,75	105,0	67,2	210,0	10,0	101,778	0	0	0	58,8	0	0	0	0	0	0	54,429	0	180,333	0	0	0	0	0	0	56,808	71,0	0	0	0	32,667	52,636	51,538	0	0	0	0	63,303
Mikk	0	61,335	49,954	73,926	49,558	40,718	49,558	0	0	0	250,714	93,3	0	68,571	57,375	51,638	63,0	115,5	69,827	52,737	77,333	52,276	59,578	40,791	31,352	70,438	132,0	0	57,833	25,0	0	0	0	75,5	0	0	0	46,333	83,071	82,333	70,0	0	67,667	65,933	81,095	41,049	44,25	64,0	0	53,0	144,75	42,0	41,211	37,562	0	0	0	49,95
Sebastian	34,882	44,151	42,183	57,769	70,25	40,143	85,667	34,882	0	62,667	56,667	53,44	70,385	26,0	52,024	54,179	43,13	49,927	37,881	38,194	73,5	30,187	31,923	50,786	32,81	70,728	96,0	51,073	44,0	33,387	0	0	0	82,909	0	124,25	71,167	68,0	49,965	98,0	45,5	17,5	113,0	58,333	26,75	34,311	50,451	55,75	0	20,667	89,297	35,0	0	2,0	0	0	0	42,365
Kristjan	39,091	48,179	40,648	36,539	39,317	37,04	39,368	39,091	0	76,0	43,083	68,25	38,174	47,309	52,333	41,972	42,043	41,933	54,889	47,0	66,311	47,085	47,324	63,037	37,967	39,025	44,0	42,5	76,0	44,231	24,5	0	0	0	0	0	50,909	36,2	40,229	19,0	44,2	28,815	32,111	33,353	93,0	35,18	51,045	56,833	0	38,514	45,811	35,787	35,851	35,0	5,0	3,0	26,0	40,568
Piret	50,483	79,674	66,718	70,759	58,171	59,057	76,75	50,483	0	57,4	0	0	42,0	0	0	59,143	45,0	84,016	0	0	142,778	85,915	85,089	56,238	55,673	68,62	0	37,5	0	0	0	0	0	0	0	0	71,552	0	87,067	0	0	0	0	68,0	47,182	57,279	89,417	3,0	0	0	0	76,75	0	0	0	0	0	66,558
