Jrk.	Nimi	Lühike	Kõik	%
1	Ago	1365	37722	3,62
2	Kadri	2730	33188	8,23
3	Anubis	566	13568	4,17
4	Sebastian	518	12359	4,19
5	Elvar	330	8993	3,67
6	Kaido.K	192	6936	2,77
7	test9	204	6029	3,38
8	Kristjan	370	5934	6,24
9	TROLLOLOLOLOLOLO	265	5233	5,06
10	TheCreepySheep	273	4973	5,49
11	Mikk	192	4783	4,01
12	Helin	135	4201	3,21
13	Kert	218	3705	5,88
14	Piret	122	3324	3,67
15	MajorMoopsy	88	2829	3,11
16	ER	78	2540	3,07
17	krohtla	87	2530	3,44
18	Glad	125	2265	5,52
19	Rauno	35	1934	1,81
20	firehax	110	1767	6,23
21	moth	79	1740	4,54
22	sutgon	39	1593	2,45
23	Edvin	45	1512	2,98
24	TankerElite	78	1489	5,24
25	236460404446855168	58	1486	3,9
26	Raul	46	1424	3,23
27	Atren	30	1370	2,19
28	marko169	74	1159	6,38
29	f11	91	1142	7,97
30	markal	31	1131	2,74
31	Dave_Shinji	87	1089	7,99
32	frang	129	1023	12,61
33	Skye	64	1010	6,34
34	Taurixz	40	995	4,02
35	pesalu	31	993	3,12
36	SapnikZ	118	951	12,41
37	Tärk	31	934	3,32
38	yipers	74	859	8,61
39	mj	37	846	4,37
40	MeusChapeus	26	832	3,12
41	Janar	29	813	3,57
42	Tanel	20	807	2,48
43	Holger	15	801	1,87
44	Jevgenia	19	788	2,41
45	Ken	54	765	7,06
46	André	27	738	3,66
47	LarsAsi	43	723	5,95
48	Vallavanem	26	682	3,81
49	Anurist	22	672	3,27
50	HarriH	41	666	6,16
51	Andri	19	630	3,02
52	Emily Joy Krohn	25	621	4,03
53	Patapon	13	619	2,1
54	HipSterius	41	618	6,63
55	KristjanP	56	591	9,48
56	olla(OliverLaidma)	5	576	0,87
57	lenny666	17	573	2,97
58	Aivar Hinrikus	14	561	2,5
59	MZ	33	545	6,06
60	$A$HA	16	535	2,99
61	Tristan	26	530	4,91
62	Lightning	25	528	4,73
63	andreivassiljev	12	516	2,33
64	Gert_Lohmus	14	491	2,85
65	uudu	79	474	16,67
66	margus	16	474	3,38
67	kermz	24	453	5,3
68	SiimM	19	450	4,22
69	outworld	39	441	8,84
70	ProtoMolecule	5	420	1,19
71	Ahti	12	414	2,9
72	Piidur	78	405	19,26
73	VanWolfing	19	399	4,76
74	G[A]stly	14	399	3,51
75	bode	17	384	4,43
76	timmu	5	374	1,34
77	kaspar	30	368	8,15
78	kenlaumets	17	351	4,84
79	Annie	19	351	5,41
80	KrisTi	6	327	1,83
81	liliat	4	321	1,25
82	Tidrexion	17	320	5,31
83	JaagupSelli	11	318	3,46
84	hhar0ld	11	294	3,74
85	Alex.	31	279	11,11
86	Oskar	25	279	8,96
87	andres	17	276	6,16
88	123321	14	273	5,13
89	Boriss	8	273	2,93
90	AnnaS	6	270	2,22
91	Rait K3	19	252	7,54
92	9to5	23	240	9,58
93	jkymmel	8	239	3,35
94	Anja	23	232	9,91
95	Scharlett	3	231	1,3
96	fox	7	231	3,03
97	TSlex	16	231	6,93
98	reneberkmann	11	222	4,95
99	PeebukasNagmir69	12	213	5,63
100	Kristjan	8	213	3,76
