Kuupäev	Kanal	Kõik	Rauno	Kadri	Ago	test9	MajorMoopsy	Mikk	Sebastian	Kristjan	Piret	Helin	236460404446855168	Elvar	moth	TankerElite	TROLLOLOLOLOLOLO	Anubis	Glad	Kaido.K	firehax	sutgon	ER	TheCreepySheep	Edvin	krohtla
Fri 14 Dec 2018	dj01	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Fri 14 Dec 2018	ettepanekud	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0
Fri 14 Dec 2018	ex14	21	0	43	13	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fri 14 Dec 2018	ex15	35	0	14	17	4	0	2	2	10	13	0	0	7	0	0	33	0	3	1	0	0	0	0	0	0
Fri 14 Dec 2018	food	3	0	100	19	3	0	3	70	3	17	0	0	2	0	0	0	5	4	0	0	0	0	0	0	0
Fri 14 Dec 2018	general	18	0	2	21	3	0	2	3	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Fri 14 Dec 2018	pr15	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fri 14 Dec 2018	random	3	6	52	13	8	0	15	14	24	4	0	0	1	0	0	1	6	0	2	0	0	0	0	0	0
Fri 14 Dec 2018	xp02	4	1	5	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fri 14 Dec 2018	xp03	0	5	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	dj01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Sat 15 Dec 2018	ex14	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	ex15	20	0	21	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0
Sat 15 Dec 2018	food	3	2	62	28	4	0	0	7	10	36	16	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	general	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	kaugōpe	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	pr15	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Sat 15 Dec 2018	random	3	5	93	19	0	2	1	54	35	2	1	2	0	0	0	10	2	1	13	0	0	0	0	0	0
Sun 16 Dec 2018	dj01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	dj02	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	ex15	18	0	20	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0
Sun 16 Dec 2018	food	2	1	8	2	1	0	0	1	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	kaugōpe	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	konsult	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	random	3	2	40	12	3	5	0	5	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	stat	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun 16 Dec 2018	xp06	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	dj02	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	ettepanekud	8	0	1	3	0	0	0	0	1	0	0	0	0	0	2	0	2	0	6	0	0	0	0	0	0
Mon 17 Dec 2018	ex15	13	0	0	3	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	1
Mon 17 Dec 2018	food	5	1	26	1	0	0	19	0	0	0	0	0	1	0	0	0	10	2	0	0	0	0	0	0	0
Mon 17 Dec 2018	general	20	0	0	19	0	0	0	0	0	6	0	0	0	0	0	12	3	6	0	0	0	0	0	0	0
Mon 17 Dec 2018	kaugōpe	3	0	0	4	0	0	0	2	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	konsult	4	1	10	12	0	0	5	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	meme	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	random	10	0	49	18	0	5	8	12	1	16	10	0	6	0	1	2	3	26	4	0	0	0	0	0	0
Mon 17 Dec 2018	stat	3	0	0	5	2	0	0	0	1	5	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
Mon 17 Dec 2018	videod	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon 17 Dec 2018	xp02	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mon 17 Dec 2018	xp06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Tue 18 Dec 2018	ex15	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
Tue 18 Dec 2018	food	7	4	77	36	12	0	0	0	2	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0
Tue 18 Dec 2018	general	4	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tue 18 Dec 2018	kaugōpe	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tue 18 Dec 2018	meme	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tue 18 Dec 2018	random	17	3	363	139	96	2	0	214	2	16	0	0	79	0	0	0	1	9	77	0	0	0	0	0	0
Tue 18 Dec 2018	xp06	2	0	1	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tue 18 Dec 2018	xp07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0
Wed 19 Dec 2018	ex15	8	0	0	5	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Wed 19 Dec 2018	food	1	3	44	45	3	0	0	0	1	6	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0
Wed 19 Dec 2018	meme	56	0	12	3	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Wed 19 Dec 2018	pr15	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Wed 19 Dec 2018	random	13	3	155	38	12	3	0	20	0	6	0	0	56	0	0	0	6	2	0	0	0	0	0	0	0
