X	Y	X->Y
Rauno	G[A]stly	1
Rauno	Kadri	3
Rauno	Ahti	2
Rauno	MajorMoopsy	1
Rauno	Sebastian	3
Kadri	Rauno	3
Kadri	Kadri	3
Kadri	Ago	89
Kadri	test9	8
Kadri	MajorMoopsy	6
Kadri	Mikk	7
Kadri	Sebastian	56
Kadri	Piret	1
Kadri	Elvar	18
Kadri	moth	2
Kadri	marko169	2
Kadri	TheCreepySheep	1
Kadri	Anubis	7
Kadri	mj	1
Kadri	yipers	1
Kadri	Glad	1
Kadri	Oskar	1
Kadri	Kaido.K	9
Kadri	uudu	2
Kadri	TROLLOLOLOLOLOLO	2
Kadri	tankitõrje	1
Kadri	f11	3
Kadri	frang	3
Kadri	Mokkachino	2
Kadri	Anurist	2
Ago	Rauno	3
Ago	Kadri	71
Ago	Ago	4
Ago	test9	9
Ago	MajorMoopsy	7
Ago	Shmel	1
Ago	Mikk	16
Ago	Sebastian	11
Ago	Kristjan	8
Ago	Piret	11
Ago	Helin	6
Ago	236460404446855168	3
Ago	Elvar	15
Ago	moth	3
Ago	TankerElite	2
Ago	marko169	3
Ago	TROLLOLOLOLOLOLO	7
Ago	Anubis	19
Ago	outworld	3
Ago	mj	1
Ago	Glad	3
Ago	markal	14
Ago	Kaido.K	13
Ago	Patapon	1
Ago	Taurixz	1
Ago	André	3
Ago	Tristan	5
Ago	firehax	1
Ago	Ea	2
Ago	kaspar	2
Ago	Nerisa290	1
Ago	olla(OliverLaidma)	8
Ago	Kert	7
Ago	hhar0ld	1
Ago	Sawa	1
Ago	f11	1
Ago	sutgon	2
Ago	Emily Joy Krohn	3
Ago	Liis	2
Ago	Tärk	1
Ago	Tanel	14
Ago	Janar	1
Ago	SkullTiger	3
Ago	rs	1
Ago	frang	4
Ago	Piidur	1
Ago	jevgen	1
Ago	PapaSayHai	3
Ago	TheGreatLarkin	2
Ago	tn	2
Ago	Anurist	5
Ago	Polina	1
Ago	HipSterius	13
Ago	Aleksa	1
Ago	KristjanP	1
Ago	Aivar Hinrikus	7
Ago	Lightning	5
Ago	Skye	1
Ago	andres	2
Ago	ER	22
Ago	MZ	10
Ago	Risto	1
Ago	Kauri	1
Ago	$A$HA	3
Ago	Raul	4
Ago	kristjan.	1
Ago	TheCreepySheep	3
Ago	VanWolfing	2
Ago	SiimM	6
Ago	PeebukasNagmir69	2
Ago	Holger	1
Ago	sparrowxz	2
Ago	G[A]stly	1
Ago	Regina	1
Ago	kristel	4
Ago	lenny666	4
Ago	kermz	2
Ago	Meeri	1
Ago	ProtoMolecule	2
Ago	margus	1
Ago	Dave_Shinji	8
Ago	HarriH	1
Ago	Oskar	3
Ago	Teisi-LIis	1
Ago	Edvin	4
Ago	Ahti	17
Ago	Karis	2
Ago	krohtla	6
Ago	LarsAsi	5
Ago	MeusChapeus	1
Ago	raimondl	1
Ago	sanderkukk	1
Ago	Tidrexion	1
Ago	mikklahe	3
Ago	Ken	2
Ago	123321	2
Ago	pesalu	2
Ago	ErkkiA	2
Ago	KrisTi	1
Ago	Gert_Lohmus	1
Ago	Raul	1
Ago	Timo Loomets	4
Ago	TSlex	1
Ago	Jevgenia	9
Ago	jevg	2
Ago	kilpkonn	1
Ago	LiisiLota	1
Ago	Karl_H	1
Ago	liliat	2
Ago	Tark hiina vanamees	1
Ago	raunc	2
Ago	Preheat to 375°	1
Ago	kenlaumets	4
Ago	Misha	1
Ago	AnnaS	1
Ago	Sirual	1
Ago	Boriss	4
Ago	ets12	2
Ago	eikall	1
Ago	Tuuli	1
Ago	Annie	1
Ago	markusey	1
Ago	anpopl	1
Ago	Svetlana	1
Ago	SapnikZ	4
Ago	Igor	3
Ago	lepapuu	1
test9	Rauno	1
test9	Kadri	11
test9	Ago	23
test9	MajorMoopsy	3
test9	ER	1
test9	Sebastian	2
test9	Kristjan	1
test9	Piret	1
test9	Helin	1
test9	Elvar	3
test9	svenanton	1
test9	TROLLOLOLOLOLOLO	1
test9	VanWolfing	1
test9	HarriH	1
test9	Glad	1
test9	markal	2
test9	zetty	1
test9	TheCreepySheep	1
test9	KrisTi	1
test9	andrestimate	1
test9	Anubis	3
test9	Anurist	1
MajorMoopsy	Aivar Hinrikus	1
MajorMoopsy	Kadri	2
MajorMoopsy	Ago	4
MajorMoopsy	test9	3
MajorMoopsy	LiisiLota	2
MajorMoopsy	ER	2
MajorMoopsy	Sebastian	2
MajorMoopsy	Karis	1
MajorMoopsy	Andri	2
MajorMoopsy	stormtrooper	1
MajorMoopsy	MeusChapeus	5
MajorMoopsy	marko169	2
MajorMoopsy	TheCreepySheep	2
MajorMoopsy	Anubis	2
MajorMoopsy	yipers	1
MajorMoopsy	Gert_Lohmus	1
MajorMoopsy	Atren	1
MajorMoopsy	Ken	1
MajorMoopsy	krohtla	1
MajorMoopsy	andreivassiljev	1
MajorMoopsy	pesalu	1
MajorMoopsy	SiimM	1
MajorMoopsy	Vallavanem	1
MajorMoopsy	jkymmel	1
MajorMoopsy	emotüdruk	1
MajorMoopsy	blender ™	1
MajorMoopsy	VanWolfing	1
MajorMoopsy	f11	1
MajorMoopsy	maeiteamidagi	1
MajorMoopsy	Tanel	1
MajorMoopsy	Dave_Shinji	3
MajorMoopsy	Piidur	1
MajorMoopsy	TheGreatLarkin	1
MajorMoopsy	SapnikZ	1
MajorMoopsy	Doge	1
MajorMoopsy	Teisi-LIis	2
Vallavanem	$A$HA	1
Vallavanem	MeusChapeus	1
Vallavanem	TankerElite	1
Vallavanem	Glad	1
Mikk	Jevgenia	1
Mikk	Kadri	28
Mikk	Ago	33
Mikk	test9	1
Mikk	Vallavanem	1
Mikk	Sebastian	1
Mikk	Kristjan	4
Mikk	krohtla	1
Mikk	Helin	1
Mikk	Elvar	2
Mikk	TheCreepySheep	2
Mikk	Anubis	5
Mikk	Edvin	1
Mikk	Glad	1
Mikk	markal	1
Mikk	Kaido.K	1
Mikk	Patapon	1
Mikk	ER	1
Mikk	olla(OliverLaidma)	1
Mikk	Emily Joy Krohn	1
Mikk	Raul	1
Mikk	mj	1
Mikk	HipSterius	1
Sebastian	Aivar Hinrikus	1
Sebastian	Kadri	57
Sebastian	Ago	30
Sebastian	test9	7
Sebastian	MajorMoopsy	9
Sebastian	ER	6
Sebastian	Rauno	5
Sebastian	Sebastian	1
Sebastian	Kristjan	1
Sebastian	Piret	8
Sebastian	Scharlett	4
Sebastian	Ahti	6
Sebastian	Elvar	10
Sebastian	JanTreier	1
Sebastian	TankerElite	2
Sebastian	TROLLOLOLOLOLOLO	1
Sebastian	Anubis	9
Sebastian	outworld	1
Sebastian	HarriH	1
Sebastian	yipers	1
Sebastian	Glad	1
Sebastian	Atren	1
Sebastian	markal	1
Sebastian	Kaido.K	16
Sebastian	andres	2
Sebastian	Holger	3
Sebastian	kaalikas	2
Sebastian	jyrx123	1
Sebastian	Serum41	1
Sebastian	kristinamerlyn	3
Sebastian	f11	1
Sebastian	maeiteamidagi	1
Sebastian	IlmarB	1
Sebastian	Tärk	1
Sebastian	Valeri K	1
Sebastian	Deleted User	1
Sebastian	Kristjan	5
Sebastian	Anurist	2
Kristjan	Jevgenia	1
Kristjan	Kadri	6
Kristjan	Ago	15
Kristjan	test9	3
Kristjan	MajorMoopsy	4
Kristjan	Vallavanem	1
Kristjan	Rauno	1
Kristjan	Sebastian	4
Kristjan	Elvar	1
Kristjan	Helin	1
Kristjan	liliat	2
Kristjan	Raul	1
Kristjan	moth	4
Kristjan	TankerElite	1
Kristjan	236460404446855168	1
Kristjan	Raggamasta	1
Kristjan	Edvin	1
Kristjan	Anubis	8
Kristjan	Emily Joy Krohn	1
Kristjan	PeebukasNagmir69	2
Kristjan	uudu	3
Kristjan	Kadi Riin	1
Kristjan	VanWolfing	1
Kristjan	André	1
Kristjan	firehax	1
Kristjan	Frank	1
Kristjan	Pls no tilt	1
Kristjan	olla(OliverLaidma)	1
Kristjan	Mikk	1
Kristjan	TROLLOLOLOLOLOLO	1
Kristjan	hhar0ld	1
Kristjan	ErkkiA	1
Kristjan	timmu	1
Kristjan	IlmarB	1
Kristjan	MeusChapeus	1
Kristjan	frang	1
Kristjan	Piidur	1
Kristjan	Taurixz	1
Kristjan	raltm2e	1
Kristjan	Anurist	1
Kristjan	mj	3
Piret	raimondl	1
Piret	Kadri	1
Piret	Ago	2
Piret	Patapon	1
Helin	Anubis	2
Helin	Elvar	2
Helin	Gert_Lohmus	1
236460404446855168	TheCreepySheep	1
236460404446855168	Kadri	1
236460404446855168	Ago	6
236460404446855168	test9	1
236460404446855168	Glad	1
236460404446855168	Lightning	1
236460404446855168	Sebastian	1
236460404446855168	Kaido.K	1
236460404446855168	rs	1
236460404446855168	Tristan	1
Elvar	Kadri	21
Elvar	Ago	19
Elvar	test9	4
Elvar	Boriss	1
